title,keywords
Federal Officials Revise Recommendations for R.S.V. Vaccine,"['your-feed-science', 'Vaccination and Immunization', 'Disease Rates', 'Guillain-Barre Syndrome', 'Respiratory Syncytial Virus (RSV)', 'Respiratory Diseases', 'Centers for Disease Control and Prevention', 'GSK PLC', 'Pfizer Inc', 'Moderna Inc']"
F.D.A. Advisers Recommend a New Covid Vaccine Formula for the Fall,"['Vaccination and Immunization', 'Coronavirus (2019-nCoV)', 'Drugs (Pharmaceuticals)', 'Regulation and Deregulation of Industry', 'Viruses', 'Centers for Disease Control and Prevention', 'Food and Drug Administration', 'Moderna Inc', 'Novavax Inc', 'Pfizer Inc', 'your-feed-healthcare']"
Covid Vaccine Side Effects: 4 Takeaways From Our Investigation,"['your-feed-science', 'Vaccination and Immunization', 'Disease Rates', 'Drugs (Pharmaceuticals)', 'Coronavirus (2019-nCoV)', 'Content Type: Service', 'Medicine and Health', 'BioNTech SE', 'Johnson & Johnson', 'Pfizer Inc']"
Thousands Believe Covid Vaccines Harmed Them. Is Anyone Listening?,"['Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Compensation for Damages (Law)', 'Heart', 'Tinnitus', 'Disease Rates', 'Research', 'Centers for Disease Control and Prevention', 'Food and Drug Administration', 'Pfizer Inc', 'BioNTech SE', 'Moderna Inc', 'internal-truncator', 'your-feed-science', ""Bell's Palsy"", 'Accidents and Safety']"
Some Pregnant Women and Infants Received the Wrong R.S.V. Shots,"['Vaccination and Immunization', 'Children and Childhood', 'Babies and Infants', 'Clinical Trials', 'Respiratory Syncytial Virus (RSV)', 'Premature Babies', 'Pregnancy and Childbirth', 'Drugstores', 'Centers for Disease Control and Prevention', 'GSK PLC', 'Pfizer Inc']"
"Pfizer’s Birthplace, Soon Without Pfizer","['Pfizer Inc', 'Shutdowns (Institutional)', 'Brooklyn (NYC)', 'Relocation of Business', 'Drugs (Pharmaceuticals)']"
PFIZER AND INCENTIVES,[]
Pfizer,"['Pfizer Inc', 'MCKINNELL, HENRY', 'STOCKS (CORPORATE)', 'Finances', 'Forecasts']"
Counting on Pfizer?,"['New London (Conn)', 'Connecticut', 'Pfizer Inc', 'Relocation of Business', 'Defense Contracts', 'Drugs (Pharmaceuticals)', 'Economic Conditions and Trends', 'UNITED STATES ARMAMENT AND DEFENSE']"
Neurogen-Pfizer,"['Pfizer Inc', 'NEUROGEN CORP', 'Mergers, Acquisitions and Divestitures']"
Raising Issue of Succession at Pfizer,"['Pfizer Inc', 'Drugs (Pharmaceuticals)', 'Appointments and Executive Changes']"
